,subprocess,Spearman,p_value,hallmark,Tissue
0,2,0.12984535859482452,0.26359015342714326,Embryo WGCNA modules,All
1,3,0.164326942497705,0.15604781146987382,Embryo WGCNA modules,All
2,4,0.05729522650103974,0.6229920808406488,Embryo WGCNA modules,All
3,5,-0.14662575474684406,0.20626139254859235,Embryo WGCNA modules,All
4,6,0.20213437068296775,0.07993104143111296,Embryo WGCNA modules,All
5,7,0.015612227705728267,0.8935159019445684,Embryo WGCNA modules,All
6,8,0.0056346948585815045,0.9614704696134475,Embryo WGCNA modules,All
7,9,0.0754911679468005,0.5168973552767747,Embryo WGCNA modules,All
8,11,0.04775747471602616,0.6820452474397551,Embryo WGCNA modules,All
9,13,0.20871734345677392,0.07039141951451586,Embryo WGCNA modules,All
10,14,0.020463562547385027,0.8607190438031714,Embryo WGCNA modules,All
11,15,-0.05640192121858169,0.6284305759663114,Embryo WGCNA modules,All
12,16,0.09320609885585308,0.42322962422031674,Embryo WGCNA modules,All
13,17,0.0939619725563945,0.41946252395581485,Embryo WGCNA modules,All
14,18,0.07231649840452653,0.5347273987902115,Embryo WGCNA modules,All
15,19,0.15715301392165731,0.17517442026806376,Embryo WGCNA modules,All
16,20,-0.05126198005490002,0.6601004582651151,Embryo WGCNA modules,All
17,21,-0.0475650705013429,0.6832579307030212,Embryo WGCNA modules,All
18,22,0.0663244814329618,0.5691877863692351,Embryo WGCNA modules,All
19,23,-0.122176676323877,0.2930729781905118,Embryo WGCNA modules,All
20,24,0.10142450745446709,0.3833199972544289,Embryo WGCNA modules,All
21,25,0.09989901689519257,0.390552143180509,Embryo WGCNA modules,All
22,26,-0.09798871790655153,0.39972223028074216,Embryo WGCNA modules,All
23,27,-0.019707688846843603,0.865815032892239,Embryo WGCNA modules,All
24,28,0.01833337302767738,0.8750943407240781,Embryo WGCNA modules,All
25,29,0.06587095721263696,0.5718377094228673,Embryo WGCNA modules,All
26,30,0.12021140470246933,0.30096462110119315,Embryo WGCNA modules,All
27,31,0.09611964839248548,0.4088160077934908,Embryo WGCNA modules,All
28,32,0.2707539595339371,0.017999493997505472,Embryo WGCNA modules,All
29,33,0.043235975670969304,0.7107498783831352,Embryo WGCNA modules,All
30,34,0.0008933052824580434,0.9938893909588966,Embryo WGCNA modules,All
31,35,0.038989339789745676,0.7380814295510275,Embryo WGCNA modules,All
32,36,-0.02624943214607481,0.8219143717627041,Embryo WGCNA modules,All
33,37,0.15969549818711481,0.16820904309042195,Embryo WGCNA modules,All
34,38,-0.03279117544530602,0.7785533836393431,Embryo WGCNA modules,All
35,39,0.16827122889871204,0.14621663439887247,Embryo WGCNA modules,All
36,40,0.08340722706519793,0.47379003458284663,Embryo WGCNA modules,All
37,41,0.13244281549304868,0.2540752588675373,Embryo WGCNA modules,All
38,42,0.04792239261432612,0.6810064443509508,Embryo WGCNA modules,All
39,43,-0.09214787567509508,0.428536017868302,Embryo WGCNA modules,All
40,44,0.12209421737472705,0.29340133585484823,Embryo WGCNA modules,All
41,45,0.21066887191998995,0.06774639141911712,Embryo WGCNA modules,All
42,46,0.03199407227018962,0.783803740300194,Embryo WGCNA modules,All
43,47,0.07815734063598295,0.5021598721260703,Embryo WGCNA modules,All
44,48,0.11441179194558786,0.32505418251682805,Embryo WGCNA modules,All
45,49,0.026606754259058032,0.8195308189472811,Embryo WGCNA modules,All
46,50,0.05829847704903108,0.6169081717572165,Embryo WGCNA modules,All
47,51,0.15696060970697404,0.175709983773996,Embryo WGCNA modules,All
